item,exp,pronoun,cond,contrast,sent,target,model,surp
20,1,she,f,Match,"When she was appointed,",Teresa,gpt2-medium,13.846686363220217
20,1,he,f,Mismatch,"When he was appointed,",Tracy,gpt2-medium,17.419403076171875
21,1,he,m,Match,"When he was fired,",Timothy,gpt2-medium,15.774797439575195
21,1,she,m,Mismatch,"When she was fired,",Liam,gpt2-medium,17.8001708984375
21,1,she,f,Match,"When she was fired,",Teresa,gpt2-medium,13.833353996276855
21,1,he,f,Mismatch,"When he was fired,",Heidi,gpt2-medium,17.46782112121582
22,1,he,m,Match,"When he was close, the",father,gpt2-medium,8.950849533081055
22,1,she,m,Mismatch,"When she was close, the",father,gpt2-medium,9.253181457519531
22,1,she,f,Match,"When she was close,",Carrie,gpt2-medium,14.414935111999512
22,1,he,f,Mismatch,"When he was close,",Elizabeth,gpt2-medium,14.383570671081545
23,1,he,m,Match,"When he was retired,",Steve,gpt2-medium,11.07363510131836
23,1,she,m,Mismatch,"When she was retired,",Donald,gpt2-medium,10.66639232635498
23,1,she,f,Match,"When she was retired,",Christina,gpt2-medium,12.904964447021484
23,1,he,f,Mismatch,"When he was retired, the",dancer,gpt2-medium,16.29061508178711
24,1,he,m,Match,"When he was abroad, the",guy,gpt2-medium,11.305438041687012
24,1,she,m,Mismatch,"When she was abroad,",Larry,gpt2-medium,15.125533103942873
24,1,she,f,Match,"When she was abroad,",Lori,gpt2-medium,16.5163631439209
24,1,he,f,Mismatch,"When he was abroad,",Catherine,gpt2-medium,15.193867683410645
25,1,he,m,Match,"When he was discovered,",Thomas,gpt2-medium,12.122516632080078
25,1,she,m,Mismatch,"When she was discovered,",Donald,gpt2-medium,13.285961151123049
25,1,she,f,Match,"When she was discovered,",Suzanne,gpt2-medium,15.438644409179688
25,1,he,f,Mismatch,"When he was discovered,",Dana,gpt2-medium,14.746822357177734
26,1,he,m,Match,"When he was busy, the",nephew,gpt2-medium,14.746818542480469
26,1,she,m,Mismatch,"When she was busy,",Bruce,gpt2-medium,13.483845710754396
26,1,she,f,Match,"When she was busy,",Lori,gpt2-medium,15.361708641052246
26,1,he,f,Mismatch,"When he was busy,",Christina,gpt2-medium,16.810182571411133
27,1,he,m,Match,"When he was twenty-one,",Brian,gpt2-medium,13.188885688781738
27,1,she,m,Mismatch,"When she was twenty-one,",Brad,gpt2-medium,13.76466178894043
27,1,she,f,Match,"When she was twenty-one,",Naomi,gpt2-medium,13.876029014587402
27,1,he,f,Mismatch,"When he was twenty-one, the",woman,gpt2-medium,8.363783836364746
28,1,he,m,Match,"When he was annoyed,",Larry,gpt2-medium,13.311564445495604
28,1,she,m,Mismatch,"When she was annoyed,",Richard,gpt2-medium,13.169059753417969
28,1,she,f,Match,"When she was annoyed,",Ann,gpt2-medium,13.063525199890137
28,1,he,f,Mismatch,"When he was annoyed, the",woman,gpt2-medium,7.766494274139404
29,1,he,m,Match,"When he was in church,",Liam,gpt2-medium,16.810894012451172
29,1,she,m,Mismatch,"When she was in church,",Richard,gpt2-medium,13.231179237365724
29,1,she,f,Match,"When she was in church, the",dancer,gpt2-medium,15.16793155670166
29,1,he,f,Mismatch,"When he was in church,",Teresa,gpt2-medium,16.748210906982422
30,1,he,m,Match,"When he was banished,",Timothy,gpt2-medium,15.530580520629885
30,1,she,m,Mismatch,"When she was banished,",Russell,gpt2-medium,15.504538536071776
30,1,she,f,Match,"When she was banished,",Sheila,gpt2-medium,16.260656356811523
30,1,he,f,Mismatch,"When he was banished,",Cheryl,gpt2-medium,18.48929786682129
31,1,he,m,Match,"When he was angry,",Steve,gpt2-medium,12.803340911865234
31,1,she,m,Mismatch,"When she was angry,",Wayne,gpt2-medium,15.949014663696287
31,1,she,f,Match,"When she was angry, the",dancer,gpt2-medium,14.437448501586914
31,1,he,f,Mismatch,"When he was angry,",Janet,gpt2-medium,16.968788146972656
32,1,he,m,Match,"When he was distraught,",Brian,gpt2-medium,12.582207679748535
32,1,she,m,Mismatch,"When she was distraught,",Russell,gpt2-medium,13.495302200317385
32,1,she,f,Match,"When she was distraught, the",wife,gpt2-medium,9.275404930114746
32,1,he,f,Mismatch,"When he was distraught,",Helen,gpt2-medium,14.106122970581056
1,1,he,m,Match,"When he was off work,",Russell,gpt2-medium,12.948341369628906
1,1,she,m,Mismatch,"When she was off work,",Dan,gpt2-medium,12.21300220489502
1,1,she,f,Match,"When she was off work,",Judy,gpt2-medium,11.846494674682615
1,1,he,f,Mismatch,"When he was off work,",Grace,gpt2-medium,15.292665481567385
2,1,he,m,Match,"When he arrived,",Benjamin,gpt2-medium,13.45188045501709
2,1,she,m,Mismatch,"When she arrived,",Steve,gpt2-medium,12.567782402038574
2,1,she,f,Match,"When she arrived,",Claire,gpt2-medium,12.880598068237305
2,1,he,f,Mismatch,"When he arrived,",Mary,gpt2-medium,12.831938743591309
3,1,he,m,Match,"When he was fed up,",Benjamin,gpt2-medium,14.422045707702637
3,1,she,m,Mismatch,"When she was fed up,",Marcus,gpt2-medium,14.424551010131836
3,1,she,f,Match,"When she was fed up,",Kristen,gpt2-medium,16.16219711303711
3,1,he,f,Mismatch,"When he was fed up,",Marie,gpt2-medium,15.828902244567873
4,1,he,m,Match,"When he was talking,",Richard,gpt2-medium,12.62873649597168
4,1,she,m,Mismatch,"When she was talking,",Alexander,gpt2-medium,14.984086990356444
4,1,she,f,Match,"When she was talking,",Marie,gpt2-medium,14.291379928588867
4,1,he,f,Mismatch,"When he was talking, the",wife,gpt2-medium,11.366690635681152
5,1,he,m,Match,"When he was nearby,",Keith,gpt2-medium,14.026594161987305
5,1,she,m,Mismatch,"When she was nearby,",Larry,gpt2-medium,13.765106201171877
5,1,she,f,Match,"When she was nearby, the",sister,gpt2-medium,11.19273567199707
5,1,he,f,Mismatch,"When he was nearby, the",girl,gpt2-medium,7.189986228942871
6,1,he,m,Match,"When he was lost, the",guy,gpt2-medium,10.305620193481444
6,1,she,m,Mismatch,"When she was lost,",Mark,gpt2-medium,12.56935214996338
6,1,she,f,Match,"When she was lost, the",girl,gpt2-medium,6.7752227783203125
6,1,he,f,Mismatch,"When he was lost,",Suzanne,gpt2-medium,18.07438850402832
7,1,he,m,Match,"When he was bad-tempered,",Alexander,gpt2-medium,13.47855281829834
7,1,she,m,Mismatch,"When she was bad-tempered,",Dennis,gpt2-medium,14.556559562683104
7,1,she,f,Match,"When she was bad-tempered,",Carrie,gpt2-medium,14.706428527832031
7,1,he,f,Mismatch,"When he was bad-tempered,",Grace,gpt2-medium,16.22735595703125
8,1,he,m,Match,"When he was jealous,",Benjamin,gpt2-medium,14.0029935836792
8,1,she,m,Mismatch,"When she was jealous,",Brian,gpt2-medium,13.506067276000977
8,1,she,f,Match,"When she was jealous, the",girlfriend,gpt2-medium,11.339783668518066
8,1,he,f,Mismatch,"When he was jealous,",Catherine,gpt2-medium,14.546954154968262
9,1,he,m,Match,"When he was in residence,",Mark,gpt2-medium,12.672016143798828
9,1,she,m,Mismatch,"When she was in residence,",Brad,gpt2-medium,13.323446273803713
9,1,she,f,Match,"When she was in residence,",Sheila,gpt2-medium,13.75470733642578
9,1,he,f,Mismatch,"When he was in residence,",Catherine,gpt2-medium,15.005850791931152
10,1,he,m,Match,"When he was introduced,",Charles,gpt2-medium,11.853594779968262
10,1,she,m,Mismatch,"When she was introduced,",Richard,gpt2-medium,12.10446071624756
10,1,she,f,Match,"When she was introduced,",Karen,gpt2-medium,11.91493320465088
10,1,he,f,Mismatch,"When he was introduced,",Claire,gpt2-medium,15.179303169250488
11,1,he,m,Match,"When he arrived,",Liam,gpt2-medium,15.315366744995115
11,1,she,m,Mismatch,"When she arrived,",Larry,gpt2-medium,13.429435729980469
11,1,she,f,Match,"When she arrived, the",mother,gpt2-medium,8.393247604370117
11,1,he,f,Mismatch,"When he arrived,",Carrie,gpt2-medium,15.64829158782959
12,1,he,m,Match,"When he felt sad,",Charles,gpt2-medium,13.36518669128418
12,1,she,m,Mismatch,"When she felt sad,",Dan,gpt2-medium,13.446128845214844
12,1,she,f,Match,"When she felt sad,",Theresa,gpt2-medium,15.180132865905762
12,1,he,f,Mismatch,"When he felt sad,",Kristen,gpt2-medium,18.09230613708496
13,1,he,m,Match,"When he was present,",Steven,gpt2-medium,13.585919380187988
13,1,she,m,Mismatch,"When she was present,",Bruce,gpt2-medium,13.280877113342283
13,1,she,f,Match,"When she was present,",Claire,gpt2-medium,13.271763801574709
13,1,he,f,Mismatch,"When he was present,",Laura,gpt2-medium,16.1533203125
14,1,he,m,Match,"When he was depressed,",Larry,gpt2-medium,13.72783660888672
14,1,she,m,Mismatch,"When she was depressed,",Brian,gpt2-medium,13.245944023132324
14,1,she,f,Match,"When she was depressed,",Alice,gpt2-medium,13.53102207183838
14,1,he,f,Mismatch,"When he was depressed,",Naomi,gpt2-medium,17.620941162109375
15,1,he,m,Match,"When he was around,",Guy,gpt2-medium,14.932931900024414
15,1,she,m,Mismatch,"When she was around,",Liam,gpt2-medium,15.959725379943848
15,1,she,f,Match,"When she was around,",Teresa,gpt2-medium,15.646106719970703
15,1,he,f,Mismatch,"When he was around,",Christina,gpt2-medium,17.02299690246582
16,1,he,m,Match,"When he was near, the",father,gpt2-medium,9.709628105163574
16,1,she,m,Mismatch,"When she was near,",Russell,gpt2-medium,15.215465545654297
16,1,she,f,Match,"When she was near,",Kristen,gpt2-medium,16.869604110717773
16,1,he,f,Mismatch,"When he was near,",Dana,gpt2-medium,15.453835487365724
17,1,he,m,Match,"When he was in court, the",nephew,gpt2-medium,14.635478019714355
17,1,she,m,Mismatch,"When she was in court,",Russell,gpt2-medium,12.855894088745115
17,1,she,f,Match,"When she was in court, the",girl,gpt2-medium,7.513857364654541
17,1,he,f,Mismatch,"When he was in court,",Naomi,gpt2-medium,17.298267364501953
18,1,he,m,Match,"When he was poorly,",Alexander,gpt2-medium,13.358148574829102
18,1,she,m,Mismatch,"When she was poorly,",Larry,gpt2-medium,15.323505401611328
18,1,she,f,Match,"When she was poorly,",Sheila,gpt2-medium,16.69710922241211
18,1,he,f,Mismatch,"When he was poorly,",Cynthia,gpt2-medium,18.52392196655273
19,1,he,m,Match,"When he arrived,",Bradley,gpt2-medium,13.667801856994627
19,1,she,m,Mismatch,"When she arrived,",Keith,gpt2-medium,14.033646583557127
19,1,she,f,Match,"When she arrived,",Judy,gpt2-medium,11.65342903137207
19,1,he,f,Mismatch,"When he arrived,",Amanda,gpt2-medium,15.75485134124756
20,1,he,m,Match,"When he was appointed,",Steven,gpt2-medium,12.587173461914062
20,1,she,m,Mismatch,"When she was appointed,",Russell,gpt2-medium,13.661492347717283
20,1,she,f,Match,"When she was appointed, the",girlfriend,gpt2-medium,14.26050853729248
20,1,he,f,Mismatch,"When he was appointed,",Lori,gpt2-medium,17.58063507080078
21,1,he,m,Match,"When he was fired,",Donald,gpt2-medium,9.529973030090332
21,1,she,m,Mismatch,"When she was fired,",Russell,gpt2-medium,12.983072280883787
21,1,she,f,Match,"When she was fired,",Lori,gpt2-medium,13.780179977416992
21,1,he,f,Mismatch,"When he was fired,",Linda,gpt2-medium,15.378140449523926
22,1,he,m,Match,"When he was close,",Jason,gpt2-medium,13.799818992614746
22,1,she,m,Mismatch,"When she was close,",Charles,gpt2-medium,13.404579162597656
22,1,she,f,Match,"When she was close,",Cynthia,gpt2-medium,15.217524528503418
22,1,he,f,Mismatch,"When he was close,",Tiffany,gpt2-medium,15.58151626586914
23,1,he,m,Match,"When he was retired,",Thomas,gpt2-medium,11.14686393737793
23,1,she,m,Mismatch,"When she was retired,",Charles,gpt2-medium,12.5642671585083
23,1,she,f,Match,"When she was retired,",Lori,gpt2-medium,13.95743179321289
23,1,he,f,Mismatch,"When he was retired,",Teresa,gpt2-medium,16.320178985595703
24,1,he,m,Match,"When he was abroad,",Charles,gpt2-medium,12.097816467285156
24,1,she,m,Mismatch,"When she was abroad,",John,gpt2-medium,11.26181697845459
24,1,she,f,Match,"When she was abroad,",Karen,gpt2-medium,13.383241653442385
24,1,he,f,Mismatch,"When he was abroad,",Linda,gpt2-medium,17.112688064575195
25,1,he,m,Match,"When he was discovered,",Donald,gpt2-medium,12.846405982971191
25,1,she,m,Mismatch,"When she was discovered,",Douglas,gpt2-medium,14.823556900024414
25,1,she,f,Match,"When she was discovered,",Naomi,gpt2-medium,14.81308937072754
25,1,he,f,Mismatch,"When he was discovered,",Sheila,gpt2-medium,16.587955474853516
26,1,he,m,Match,"When he was busy,",Douglas,gpt2-medium,15.344636917114258
26,1,she,m,Mismatch,"When she was busy, the",nephew,gpt2-medium,15.378451347351074
26,1,she,f,Match,"When she was busy,",Elizabeth,gpt2-medium,11.904126167297363
26,1,he,f,Mismatch,"When he was busy,",Catherine,gpt2-medium,15.833717346191406
27,1,he,m,Match,"When he was twenty-one, the",father,gpt2-medium,6.8320159912109375
27,1,she,m,Mismatch,"When she was twenty-one,",Edward,gpt2-medium,12.106913566589355
27,1,she,f,Match,"When she was twenty-one,",Connie,gpt2-medium,14.173490524291992
27,1,he,f,Mismatch,"When he was twenty-one,",Dana,gpt2-medium,15.208935737609863
28,1,he,m,Match,"When he was annoyed, the",guy,gpt2-medium,7.460579872131348
28,1,she,m,Mismatch,"When she was annoyed,",Bruce,gpt2-medium,13.18522834777832
28,1,she,f,Match,"When she was annoyed,",Leslie,gpt2-medium,14.712610244750977
28,1,he,f,Mismatch,"When he was annoyed,",Sheila,gpt2-medium,16.82127571105957
29,1,he,m,Match,"When he was in church,",Keith,gpt2-medium,13.622564315795898
29,1,she,m,Mismatch,"When she was in church,",Steve,gpt2-medium,12.846725463867188
29,1,she,f,Match,"When she was in church,",Ann,gpt2-medium,12.579422950744627
29,1,he,f,Mismatch,"When he was in church,",Sheila,gpt2-medium,17.175764083862305
30,1,he,m,Match,"When he was banished, the",guy,gpt2-medium,11.534191131591797
30,1,she,m,Mismatch,"When she was banished,",Keith,gpt2-medium,15.693920135498049
30,1,she,f,Match,"When she was banished,",Cynthia,gpt2-medium,13.58599090576172
30,1,he,f,Mismatch,"When he was banished,",Elizabeth,gpt2-medium,13.28044891357422
31,1,he,m,Match,"When he was angry,",Russell,gpt2-medium,15.070828437805176
31,1,she,m,Mismatch,"When she was angry,",Jason,gpt2-medium,14.471758842468262
31,1,she,f,Match,"When she was angry,",Sheila,gpt2-medium,15.9874849319458
31,1,he,f,Mismatch,"When he was angry,",Teresa,gpt2-medium,18.52695846557617
32,1,he,m,Match,"When he was distraught,",Thomas,gpt2-medium,12.607309341430664
32,1,she,m,Mismatch,"When she was distraught,",Bruce,gpt2-medium,13.46881103515625
32,1,she,f,Match,"When she was distraught,",Teresa,gpt2-medium,15.301095008850098
32,1,he,f,Mismatch,"When he was distraught,",Laura,gpt2-medium,15.485148429870604
1,1,he,m,Match,"When he was off work,",Timothy,gpt2-medium,15.04069995880127
1,1,she,m,Mismatch,"When she was off work,",Ronald,gpt2-medium,15.173800468444824
1,1,she,f,Match,"When she was off work,",Amanda,gpt2-medium,12.760077476501465
1,1,he,f,Mismatch,"When he was off work, the",lady,gpt2-medium,11.48222827911377
2,1,he,m,Match,"When he arrived,",Alexander,gpt2-medium,12.737982749938965
2,1,she,m,Mismatch,"When she arrived,",Charles,gpt2-medium,12.880038261413574
2,1,she,f,Match,"When she arrived,",Julie,gpt2-medium,12.777717590332031
2,1,he,f,Mismatch,"When he arrived,",Diana,gpt2-medium,14.726881980895996
3,1,he,m,Match,"When he was fed up,",Phillip,gpt2-medium,16.33568000793457
3,1,she,m,Mismatch,"When she was fed up,",Bradley,gpt2-medium,15.531730651855469
3,1,she,f,Match,"When she was fed up,",Allison,gpt2-medium,14.895929336547852
3,1,he,f,Mismatch,"When he was fed up,",Lori,gpt2-medium,17.81752586364746
4,1,he,m,Match,"When he was talking, the",guy,gpt2-medium,7.508082866668701
4,1,she,m,Mismatch,"When she was talking,",Jason,gpt2-medium,13.885469436645508
4,1,she,f,Match,"When she was talking,",Amanda,gpt2-medium,14.350586891174316
4,1,he,f,Mismatch,"When he was talking,",Helen,gpt2-medium,13.594667434692385
5,1,he,m,Match,"When he was nearby,",Robert,gpt2-medium,12.066521644592283
5,1,she,m,Mismatch,"When she was nearby,",Charles,gpt2-medium,12.840662002563477
5,1,she,f,Match,"When she was nearby,",Rachel,gpt2-medium,11.63504409790039
5,1,he,f,Mismatch,"When he was nearby,",Carol,gpt2-medium,14.280722618103027
6,1,he,m,Match,"When he was lost,",Samuel,gpt2-medium,13.385849952697754
6,1,she,m,Mismatch,"When she was lost,",Roger,gpt2-medium,13.814423561096191
6,1,she,f,Match,"When she was lost,",Connie,gpt2-medium,14.381895065307615
6,1,he,f,Mismatch,"When he was lost, the",girlfriend,gpt2-medium,15.305594444274902
7,1,he,m,Match,"When he was bad-tempered,",Christopher,gpt2-medium,15.235405921936035
7,1,she,m,Mismatch,"When she was bad-tempered,",Travis,gpt2-medium,15.94790744781494
7,1,she,f,Match,"When she was bad-tempered,",Diane,gpt2-medium,14.826931953430176
7,1,he,f,Mismatch,"When he was bad-tempered,",Tiffany,gpt2-medium,15.233037948608398
8,1,he,m,Match,"When he was jealous,",Bradley,gpt2-medium,15.464191436767578
8,1,she,m,Mismatch,"When she was jealous,",Brad,gpt2-medium,13.372917175292969
8,1,she,f,Match,"When she was jealous,",Maria,gpt2-medium,12.735651016235352
8,1,he,f,Mismatch,"When he was jealous,",Alice,gpt2-medium,13.953452110290527
9,1,he,m,Match,"When he was in residence,",Adam,gpt2-medium,12.877662658691406
9,1,she,m,Mismatch,"When she was in residence,",Rodney,gpt2-medium,16.096172332763672
9,1,she,f,Match,"When she was in residence,",Anne,gpt2-medium,12.322227478027344
9,1,he,f,Mismatch,"When he was in residence,",Natalie,gpt2-medium,16.72355842590332
10,1,he,m,Match,"When he was introduced, the",nephew,gpt2-medium,15.815262794494627
10,1,she,m,Mismatch,"When she was introduced,",Liam,gpt2-medium,15.73516845703125
10,1,she,f,Match,"When she was introduced,",Catherine,gpt2-medium,13.250516891479492
10,1,he,f,Mismatch,"When he was introduced,",Cynthia,gpt2-medium,16.685270309448242
11,1,he,m,Match,"When he arrived,",Larry,gpt2-medium,13.13340663909912
11,1,she,m,Mismatch,"When she arrived,",Samuel,gpt2-medium,15.09210205078125
11,1,she,f,Match,"When she arrived,",Mary,gpt2-medium,11.127530097961426
11,1,he,f,Mismatch,"When he arrived, the",sister,gpt2-medium,13.641993522644045
12,1,he,m,Match,"When he felt sad,",Phillip,gpt2-medium,16.957515716552734
12,1,she,m,Mismatch,"When she felt sad,",Frank,gpt2-medium,14.495657920837402
12,1,she,f,Match,"When she felt sad,",Kristen,gpt2-medium,16.230674743652344
12,1,he,f,Mismatch,"When he felt sad, the",girlfriend,gpt2-medium,14.295273780822754
13,1,he,m,Match,"When he was present,",Dan,gpt2-medium,12.694975852966309
13,1,she,m,Mismatch,"When she was present,",Travis,gpt2-medium,16.617395401000977
13,1,she,f,Match,"When she was present, the",sister,gpt2-medium,11.39439296722412
13,1,he,f,Mismatch,"When he was present, the",mother,gpt2-medium,9.820786476135254
14,1,he,m,Match,"When he was depressed,",Russell,gpt2-medium,13.198391914367676
14,1,she,m,Mismatch,"When she was depressed,",Larry,gpt2-medium,14.407246589660645
14,1,she,f,Match,"When she was depressed,",Tara,gpt2-medium,15.223396301269531
14,1,he,f,Mismatch,"When he was depressed,",Leslie,gpt2-medium,16.464223861694336
15,1,he,m,Match,"When he was around,",Samuel,gpt2-medium,14.691272735595703
15,1,she,m,Mismatch,"When she was around,",Timothy,gpt2-medium,16.468753814697266
15,1,she,f,Match,"When she was around,",Sheila,gpt2-medium,15.75050926208496
15,1,he,f,Mismatch,"When he was around,",Kristen,gpt2-medium,17.778539657592773
16,1,he,m,Match,"When he was near,",Timothy,gpt2-medium,16.10805892944336
16,1,she,m,Mismatch,"When she was near,",Timothy,gpt2-medium,17.24795913696289
16,1,she,f,Match,"When she was near,",Danielle,gpt2-medium,15.779167175292969
16,1,he,f,Mismatch,"When he was near,",Cheryl,gpt2-medium,16.42719268798828
17,1,he,m,Match,"When he was in court,",Travis,gpt2-medium,14.5537691116333
17,1,she,m,Mismatch,"When she was in court,",Steven,gpt2-medium,12.869049072265623
17,1,she,f,Match,"When she was in court,",Wendy,gpt2-medium,13.546467781066896
17,1,he,f,Mismatch,"When he was in court,",Leslie,gpt2-medium,15.57016658782959
18,1,he,m,Match,"When he was poorly,",Mark,gpt2-medium,13.260706901550291
18,1,she,m,Mismatch,"When she was poorly,",Ronald,gpt2-medium,15.031558990478516
18,1,she,f,Match,"When she was poorly,",Cheryl,gpt2-medium,16.594789505004883
18,1,he,f,Mismatch,"When he was poorly,",Anne,gpt2-medium,16.14095687866211
19,1,he,m,Match,"When he arrived,",Brett,gpt2-medium,15.380436897277832
19,1,she,m,Mismatch,"When she arrived,",John,gpt2-medium,10.660687446594238
19,1,she,f,Match,"When she arrived,",Karen,gpt2-medium,12.461182594299316
19,1,he,f,Mismatch,"When he arrived,",Nicole,gpt2-medium,15.343079566955566
20,1,he,m,Match,"When he was appointed,",Phillip,gpt2-medium,15.92275333404541
20,1,she,m,Mismatch,"When she was appointed,",Keith,gpt2-medium,13.8267240524292
20,1,she,f,Match,"When she was appointed, the",sister,gpt2-medium,12.185985565185549
20,1,he,f,Mismatch,"When he was appointed,",Elizabeth,gpt2-medium,13.720330238342283
21,1,he,m,Match,"When he was fired,",Bradley,gpt2-medium,12.23631191253662
21,1,she,m,Mismatch,"When she was fired, the",guy,gpt2-medium,11.042917251586914
21,1,she,f,Match,"When she was fired,",Laura,gpt2-medium,13.986528396606444
21,1,he,f,Mismatch,"When he was fired,",Suzanne,gpt2-medium,18.108829498291016
22,1,he,m,Match,"When he was close,",Ronald,gpt2-medium,13.554361343383787
22,1,she,m,Mismatch,"When she was close, the",guy,gpt2-medium,9.067089080810549
22,1,she,f,Match,"When she was close,",Grace,gpt2-medium,14.30036163330078
22,1,he,f,Mismatch,"When he was close,",Wendy,gpt2-medium,16.688518524169922
23,1,he,m,Match,"When he was retired,",Bradley,gpt2-medium,12.666241645812988
23,1,she,m,Mismatch,"When she was retired,",Alexander,gpt2-medium,13.114356994628906
23,1,she,f,Match,"When she was retired, the",mother,gpt2-medium,8.605534553527832
23,1,he,f,Mismatch,"When he was retired,",Christina,gpt2-medium,16.339427947998047
24,1,he,m,Match,"When he was abroad,",Travis,gpt2-medium,18.72407341003418
24,1,she,m,Mismatch,"When she was abroad,",Walter,gpt2-medium,14.568669319152832
24,1,she,f,Match,"When she was abroad, the",mother,gpt2-medium,8.003180503845215
24,1,he,f,Mismatch,"When he was abroad,",Anne,gpt2-medium,15.408292770385742
25,1,he,m,Match,"When he was discovered,",Bruce,gpt2-medium,12.78852367401123
25,1,she,m,Mismatch,"When she was discovered,",Ronald,gpt2-medium,15.043238639831545
25,1,she,f,Match,"When she was discovered,",Alice,gpt2-medium,13.69675350189209
25,1,he,f,Mismatch,"When he was discovered,",Carol,gpt2-medium,15.571682929992676
26,1,he,m,Match,"When he was busy,",Dennis,gpt2-medium,14.573630332946776
26,1,she,m,Mismatch,"When she was busy,",Mitchell,gpt2-medium,15.4867582321167
26,1,she,f,Match,"When she was busy,",Nicole,gpt2-medium,14.30454158782959
26,1,he,f,Mismatch,"When he was busy,",Pamela,gpt2-medium,16.672941207885742
27,1,he,m,Match,"When he was twenty-one,",Liam,gpt2-medium,15.69102668762207
27,1,she,m,Mismatch,"When she was twenty-one,",Mark,gpt2-medium,12.436284065246582
27,1,she,f,Match,"When she was twenty-one,",Grace,gpt2-medium,13.623167991638184
27,1,he,f,Mismatch,"When he was twenty-one, the",girl,gpt2-medium,8.701431274414062
28,1,he,m,Match,"When he was annoyed,",Eric,gpt2-medium,12.36565399169922
28,1,she,m,Mismatch,"When she was annoyed, the",guy,gpt2-medium,8.397844314575195
28,1,she,f,Match,"When she was annoyed,",Wendy,gpt2-medium,13.706801414489746
28,1,he,f,Mismatch,"When he was annoyed,",Sally,gpt2-medium,14.107857704162598
29,1,he,m,Match,"When he was in church,",Steven,gpt2-medium,13.713005065917969
29,1,she,m,Mismatch,"When she was in church,",Benjamin,gpt2-medium,14.39020538330078
29,1,she,f,Match,"When she was in church,",Claire,gpt2-medium,14.413925170898438
29,1,he,f,Mismatch,"When he was in church, the",girlfriend,gpt2-medium,14.212262153625488
30,1,he,m,Match,"When he was banished,",Jason,gpt2-medium,12.705101013183594
30,1,she,m,Mismatch,"When she was banished,",Bradley,gpt2-medium,16.68819808959961
30,1,she,f,Match,"When she was banished,",Suzanne,gpt2-medium,17.349634170532227
30,1,he,f,Mismatch,"When he was banished,",Mary,gpt2-medium,12.6332368850708
31,1,he,m,Match,"When he was angry,",Timothy,gpt2-medium,17.109268188476562
31,1,she,m,Mismatch,"When she was angry,",Jeffrey,gpt2-medium,15.407673835754396
31,1,she,f,Match,"When she was angry,",Karen,gpt2-medium,13.755804061889648
31,1,he,f,Mismatch,"When he was angry,",Claire,gpt2-medium,15.857378005981444
32,1,he,m,Match,"When he was distraught,",Guy,gpt2-medium,15.274129867553713
32,1,she,m,Mismatch,"When she was distraught,",Rodney,gpt2-medium,16.88729476928711
32,1,she,f,Match,"When she was distraught,",Marie,gpt2-medium,12.97272777557373
32,1,he,f,Mismatch,"When he was distraught,",Danielle,gpt2-medium,15.651875495910645
1,1,he,m,Match,"When he was off work,",Bruce,gpt2-medium,12.379054069519045
1,1,she,m,Mismatch,"When she was off work,",Mark,gpt2-medium,13.129590034484863
1,1,she,f,Match,"When she was off work, the",woman,gpt2-medium,5.004896640777588
1,1,he,f,Mismatch,"When he was off work, the",granddaughter,gpt2-medium,16.125019073486328
2,1,he,m,Match,"When he arrived,",Kenneth,gpt2-medium,14.89588451385498
2,1,she,m,Mismatch,"When she arrived,",Samuel,gpt2-medium,15.09210205078125
2,1,she,f,Match,"When she arrived, the",waitress,gpt2-medium,10.889859199523926
2,1,he,f,Mismatch,"When he arrived, the",granddaughter,gpt2-medium,17.00025177001953
3,1,he,m,Match,"When he was fed up,",Jeffrey,gpt2-medium,14.351590156555176
3,1,she,m,Mismatch,"When she was fed up,",Martin,gpt2-medium,13.219064712524414
3,1,she,f,Match,"When she was fed up,",Leslie,gpt2-medium,14.185646057128906
3,1,he,f,Mismatch,"When he was fed up,",Carrie,gpt2-medium,16.81967544555664
4,1,he,m,Match,"When he was talking,",Benjamin,gpt2-medium,14.570219993591309
4,1,she,m,Mismatch,"When she was talking,",Frank,gpt2-medium,13.504013061523438
4,1,she,f,Match,"When she was talking,",Cynthia,gpt2-medium,15.732940673828123
4,1,he,f,Mismatch,"When he was talking, the",girlfriend,gpt2-medium,13.754294395446776
5,1,he,m,Match,"When he was nearby,",Ronald,gpt2-medium,13.800729751586914
5,1,she,m,Mismatch,"When she was nearby,",Alexander,gpt2-medium,13.611361503601074
5,1,she,f,Match,"When she was nearby,",Veronica,gpt2-medium,15.138017654418944
5,1,he,f,Mismatch,"When he was nearby,",Meredith,gpt2-medium,16.230676651000977
6,1,he,m,Match,"When he was lost,",John,gpt2-medium,9.625462532043455
6,1,she,m,Mismatch,"When she was lost,",Theodore,gpt2-medium,15.75859832763672
6,1,she,f,Match,"When she was lost,",Tiffany,gpt2-medium,15.079164505004885
6,1,he,f,Mismatch,"When he was lost,",Diana,gpt2-medium,14.655478477478027
7,1,he,m,Match,"When he was bad-tempered,",Dan,gpt2-medium,12.732318878173828
7,1,she,m,Mismatch,"When she was bad-tempered, the",grandson,gpt2-medium,13.824727058410645
7,1,she,f,Match,"When she was bad-tempered,",Tara,gpt2-medium,15.97728157043457
7,1,he,f,Mismatch,"When he was bad-tempered,",Rachel,gpt2-medium,14.991107940673828
8,1,he,m,Match,"When he was jealous,",Bruce,gpt2-medium,13.961993217468262
